individual 0: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N19(96, 7) ) ( 3, N17(112, 103) ) ( 4, N20(140, 21) ) ( 5, N28(72, 7) ) 

individual 1: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N17(112, 103) ) ( 3, N28(72, 7) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 

individual 2: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N19(96, 7) ) ( 4, N38(106, 59) ) ( 5, N28(72, 7) ) 

individual 3: ( 0, G(1, 3) )( 1, N19(96, 7) ) ( 2, N17(112, 103) ) ( 3, N20(140, 21) ) ( 4, N28(72, 7) ) ( 5, N38(106, 59) ) 

individual 4: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N19(96, 7) ) ( 3, N28(72, 7) ) ( 4, N20(140, 21) ) ( 5, N17(112, 103) ) 

individual 5: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N17(112, 103) ) ( 3, N28(72, 7) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 

individual 6: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N19(96, 7) ) ( 3, N38(106, 59) ) ( 4, N28(72, 7) ) ( 5, N17(112, 103) ) 

individual 7: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N17(112, 103) ) ( 3, N28(72, 7) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 

individual 8: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N38(106, 59) ) ( 3, N17(112, 103) ) ( 4, N28(72, 7) ) ( 5, N19(96, 7) ) 

individual 9: ( 0, G(1, 3) )( 1, N19(96, 7) ) ( 2, N17(112, 103) ) ( 3, N28(72, 7) ) ( 4, N20(140, 21) ) ( 5, N38(106, 59) ) 

individual 10: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N17(112, 103) ) ( 3, N28(72, 7) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 

