 CH's ID: 1
node: 1
nID1: 1, nID2: 39, key value: 40
nID1: 1, nID2: 39, key value: 40
nID1: 1, nID2: 171, key value: 172
nID1: 1, nID2: 148, key value: 149
nID1: 1, nID2: 159, key value: 160
nID1: 1, nID2: 170, key value: 171
nID1: 1, nID2: 182, key value: 183
nID1: 1, nID2: 304, key value: 305
nID1: 1, nID2: 171, key value: 172
nID1: 1, nID2: 170, key value: 171
nID1: 1, nID2: 172, key value: 173
nID1: 1, nID2: 182, key value: 183
nID1: 1, nID2: 304, key value: 305
nID1: 1, nID2: 148, key value: 149
nID1: 1, nID2: 159, key value: 160

node: 145
nID1: 145, nID2: 157, key value: 302
nID1: 145, nID2: 290, key value: 435
nID1: 14, nID2: 145, key value: 159
nID1: 14, nID2: 145, key value: 159
nID1: 145, nID2: 157, key value: 302
nID1: 145, nID2: 290, key value: 435

node: 289
nID1: 159, nID2: 289, key value: 448
nID1: 14, nID2: 289, key value: 303
nID1: 289, nID2: 291, key value: 580
nID1: 159, nID2: 289, key value: 448
nID1: 289, nID2: 313, key value: 602
nID1: 14, nID2: 289, key value: 303
nID1: 289, nID2: 313, key value: 602
nID1: 289, nID2: 291, key value: 580



 CH's ID: 7
node: 7
nID1: 7, nID2: 29, key value: 36
nID1: 7, nID2: 31, key value: 38
nID1: 7, nID2: 331, key value: 338
nID1: 7, nID2: 332, key value: 339
nID1: 7, nID2: 30, key value: 37
nID1: 7, nID2: 320, key value: 327
nID1: 7, nID2: 333, key value: 340
nID1: 7, nID2: 161, key value: 168
nID1: 7, nID2: 152, key value: 159
nID1: 7, nID2: 297, key value: 304
nID1: 7, nID2: 298, key value: 305
nID1: 7, nID2: 30, key value: 37
nID1: 7, nID2: 161, key value: 168
nID1: 7, nID2: 331, key value: 338
nID1: 7, nID2: 332, key value: 339
nID1: 7, nID2: 31, key value: 38
nID1: 7, nID2: 333, key value: 340
nID1: 7, nID2: 29, key value: 36
nID1: 7, nID2: 320, key value: 327
nID1: 7, nID2: 152, key value: 159
nID1: 7, nID2: 162, key value: 169
nID1: 7, nID2: 297, key value: 304
nID1: 7, nID2: 298, key value: 305

node: 151
nID1: 151, nID2: 307, key value: 458
nID1: 20, nID2: 151, key value: 171
nID1: 151, nID2: 162, key value: 313
nID1: 150, nID2: 151, key value: 301
nID1: 151, nID2: 307, key value: 458
nID1: 20, nID2: 151, key value: 171
nID1: 151, nID2: 162, key value: 313
nID1: 150, nID2: 151, key value: 301

node: 295
nID1: 30, nID2: 295, key value: 325
nID1: 31, nID2: 295, key value: 326
nID1: 295, nID2: 320, key value: 615
nID1: 295, nID2: 307, key value: 602
nID1: 295, nID2: 321, key value: 616
nID1: 161, nID2: 295, key value: 456
nID1: 162, nID2: 295, key value: 457
nID1: 31, nID2: 295, key value: 326
nID1: 295, nID2: 320, key value: 615
nID1: 30, nID2: 295, key value: 325
nID1: 162, nID2: 295, key value: 457
nID1: 295, nID2: 321, key value: 616
nID1: 295, nID2: 307, key value: 602
nID1: 161, nID2: 295, key value: 456



 CH's ID: 8
node: 8
nID1: 8, nID2: 29, key value: 37
nID1: 8, nID2: 31, key value: 39
nID1: 8, nID2: 331, key value: 339
nID1: 8, nID2: 332, key value: 340
nID1: 8, nID2: 30, key value: 38
nID1: 8, nID2: 320, key value: 328
nID1: 8, nID2: 333, key value: 341
nID1: 8, nID2: 307, key value: 315
nID1: 8, nID2: 321, key value: 329
nID1: 8, nID2: 161, key value: 169
nID1: 8, nID2: 162, key value: 170
nID1: 8, nID2: 153, key value: 161
nID1: 8, nID2: 154, key value: 162
nID1: 8, nID2: 11, key value: 19
nID1: 8, nID2: 331, key value: 339
nID1: 8, nID2: 161, key value: 169
nID1: 8, nID2: 30, key value: 38
nID1: 8, nID2: 332, key value: 340
nID1: 8, nID2: 31, key value: 39
nID1: 8, nID2: 333, key value: 341
nID1: 8, nID2: 320, key value: 328
nID1: 8, nID2: 29, key value: 37
nID1: 8, nID2: 307, key value: 315
nID1: 8, nID2: 162, key value: 170
nID1: 8, nID2: 153, key value: 161
nID1: 8, nID2: 321, key value: 329
nID1: 8, nID2: 11, key value: 19
nID1: 8, nID2: 154, key value: 162

node: 152
nID1: 152, nID2: 307, key value: 459
nID1: 20, nID2: 152, key value: 172
nID1: 21, nID2: 152, key value: 173
nID1: 7, nID2: 152, key value: 159
nID1: 20, nID2: 152, key value: 172
nID1: 152, nID2: 307, key value: 459
nID1: 21, nID2: 152, key value: 173
nID1: 7, nID2: 152, key value: 159

node: 296
nID1: 30, nID2: 296, key value: 326
nID1: 31, nID2: 296, key value: 327
