individual 0: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N29(12, 123) ) ( 3, N11(118, 39) ) ( 4, N31(134, 15) ) ( 5, N13(2, 123) ) ( 6, N27(138, 137) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N32(30, 145) ) ( 10, N19(146, 107) ) ( 11, N23(54, 47) ) ( 12, N24(82, 5) ) ( 13, N26(94, 67) ) ( 14, N10(138, 69) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N8(80, 69) ) ( 18, N7(36, 137) ) ( 19, N21(6, 15) ) ( 20, N28(122, 7) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N16(8, 83) ) ( 24, N25(118, 35) ) ( 25, N14(126, 109) ) ( 26, N12(8, 45) ) ( 27, N20(90, 71) ) ( 28, N6(144, 35) ) ( 29, G(1, 4) )( 30, N30(78, 53) ) ( 31, N9(94, 117) ) ( 32, N22(12, 147) ) ( 33, N15(50, 139) ) ( 34, N18(34, 91) ) ( 35, N17(12, 103) ) 

individual 1: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N29(12, 123) ) ( 3, N11(118, 39) ) ( 4, N26(94, 67) ) ( 5, N21(6, 15) ) ( 6, N28(122, 7) ) ( 7, N12(8, 45) ) ( 8, G(1, 1) )( 9, N32(30, 145) ) ( 10, N22(12, 147) ) ( 11, N24(82, 5) ) ( 12, N25(118, 35) ) ( 13, N10(138, 69) ) ( 14, N9(94, 117) ) ( 15, G(1, 2) )( 16, N16(8, 83) ) ( 17, N7(36, 137) ) ( 18, N6(144, 35) ) ( 19, N-1 ) ( 20, N-1 ) ( 21, N31(134, 15) ) ( 22, G(1, 3) )( 23, N14(126, 109) ) ( 24, N15(50, 139) ) ( 25, N30(78, 53) ) ( 26, N19(146, 107) ) ( 27, N20(90, 71) ) ( 28, N18(34, 91) ) ( 29, G(1, 4) )( 30, N13(2, 123) ) ( 31, N17(12, 103) ) ( 32, N23(54, 47) ) ( 33, N27(138, 137) ) ( 34, N8(80, 69) ) ( 35, N-1 ) 

individual 2: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N20(90, 71) ) ( 3, N6(144, 35) ) ( 4, N10(138, 69) ) ( 5, N17(12, 103) ) ( 6, N25(118, 35) ) ( 7, N7(36, 137) ) ( 8, G(1, 1) )( 9, N18(34, 91) ) ( 10, N16(8, 83) ) ( 11, N28(122, 7) ) ( 12, N22(12, 147) ) ( 13, N13(2, 123) ) ( 14, N11(118, 39) ) ( 15, G(1, 2) )( 16, N21(6, 15) ) ( 17, N30(78, 53) ) ( 18, N8(80, 69) ) ( 19, N15(50, 139) ) ( 20, N14(126, 109) ) ( 21, N26(94, 67) ) ( 22, G(1, 3) )( 23, N24(82, 5) ) ( 24, N29(12, 123) ) ( 25, N19(146, 107) ) ( 26, N12(8, 45) ) ( 27, N31(134, 15) ) ( 28, N23(54, 47) ) ( 29, G(1, 4) )( 30, N9(94, 117) ) ( 31, N32(30, 145) ) ( 32, N27(138, 137) ) ( 33, N-1 ) ( 34, N-1 ) ( 35, N-1 ) 

individual 3: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(144, 35) ) ( 3, N20(90, 71) ) ( 4, N11(118, 39) ) ( 5, N8(80, 69) ) ( 6, N24(82, 5) ) ( 7, N19(146, 107) ) ( 8, G(1, 1) )( 9, N28(122, 7) ) ( 10, N9(94, 117) ) ( 11, N23(54, 47) ) ( 12, N10(138, 69) ) ( 13, N26(94, 67) ) ( 14, N16(8, 83) ) ( 15, G(1, 2) )( 16, N30(78, 53) ) ( 17, N13(2, 123) ) ( 18, N17(12, 103) ) ( 19, N25(118, 35) ) ( 20, N18(34, 91) ) ( 21, N12(8, 45) ) ( 22, G(1, 3) )( 23, N22(12, 147) ) ( 24, N15(50, 139) ) ( 25, N21(6, 15) ) ( 26, N14(126, 109) ) ( 27, N32(30, 145) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N7(36, 137) ) ( 31, N29(12, 123) ) ( 32, N31(134, 15) ) ( 33, N27(138, 137) ) ( 34, N-1 ) ( 35, N-1 ) 

individual 4: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N10(138, 69) ) ( 3, N25(118, 35) ) ( 4, N6(144, 35) ) ( 5, N20(90, 71) ) ( 6, N7(36, 137) ) ( 7, N17(12, 103) ) ( 8, G(1, 1) )( 9, N18(34, 91) ) ( 10, N16(8, 83) ) ( 11, N28(122, 7) ) ( 12, N22(12, 147) ) ( 13, N13(2, 123) ) ( 14, N11(118, 39) ) ( 15, G(1, 2) )( 16, N21(6, 15) ) ( 17, N30(78, 53) ) ( 18, N8(80, 69) ) ( 19, N15(50, 139) ) ( 20, N14(126, 109) ) ( 21, N26(94, 67) ) ( 22, G(1, 3) )( 23, N24(82, 5) ) ( 24, N29(12, 123) ) ( 25, N19(146, 107) ) ( 26, N12(8, 45) ) ( 27, N31(134, 15) ) ( 28, N23(54, 47) ) ( 29, G(1, 4) )( 30, N27(138, 137) ) ( 31, N32(30, 145) ) ( 32, N9(94, 117) ) ( 33, N-1 ) ( 34, N-1 ) ( 35, N-1 ) 

individual 5: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N10(138, 69) ) ( 3, N25(118, 35) ) ( 4, N8(80, 69) ) ( 5, N26(94, 67) ) ( 6, N27(138, 137) ) ( 7, N9(94, 117) ) ( 8, G(1, 1) )( 9, N28(122, 7) ) ( 10, N21(6, 15) ) ( 11, N11(118, 39) ) ( 12, N30(78, 53) ) ( 13, N24(82, 5) ) ( 14, N23(54, 47) ) ( 15, G(1, 2) )( 16, N31(134, 15) ) ( 17, N12(8, 45) ) ( 18, N6(144, 35) ) ( 19, N20(90, 71) ) ( 20, N19(146, 107) ) ( 21, N32(30, 145) ) ( 22, G(1, 3) )( 23, N14(126, 109) ) ( 24, N7(36, 137) ) ( 25, N18(34, 91) ) ( 26, N16(8, 83) ) ( 27, N15(50, 139) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N13(2, 123) ) ( 31, N29(12, 123) ) ( 32, N22(12, 147) ) ( 33, N17(12, 103) ) ( 34, N-1 ) ( 35, N-1 ) 

individual 6: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N11(118, 39) ) ( 3, N29(12, 123) ) ( 4, N27(138, 137) ) ( 5, N13(2, 123) ) ( 6, N31(134, 15) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N32(30, 145) ) ( 10, N19(146, 107) ) ( 11, N23(54, 47) ) ( 12, N24(82, 5) ) ( 13, N26(94, 67) ) ( 14, N10(138, 69) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N8(80, 69) ) ( 18, N7(36, 137) ) ( 19, N21(6, 15) ) ( 20, N28(122, 7) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N16(8, 83) ) ( 24, N25(118, 35) ) ( 25, N14(126, 109) ) ( 26, N12(8, 45) ) ( 27, N20(90, 71) ) ( 28, N6(144, 35) ) ( 29, G(1, 4) )( 30, N30(78, 53) ) ( 31, N9(94, 117) ) ( 32, N22(12, 147) ) ( 33, N15(50, 139) ) ( 34, N18(34, 91) ) ( 35, N17(12, 103) ) 

individual 7: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N10(138, 69) ) ( 3, N25(118, 35) ) ( 4, N20(90, 71) ) ( 5, N15(50, 139) ) ( 6, N17(12, 103) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N18(34, 91) ) ( 11, N11(118, 39) ) ( 12, N16(8, 83) ) ( 13, N28(122, 7) ) ( 14, N7(36, 137) ) ( 15, G(1, 2) )( 16, N29(12, 123) ) ( 17, N12(8, 45) ) ( 18, N9(94, 117) ) ( 19, N19(146, 107) ) ( 20, N27(138, 137) ) ( 21, N21(6, 15) ) ( 22, G(1, 3) )( 23, N13(2, 123) ) ( 24, N30(78, 53) ) ( 25, N23(54, 47) ) ( 26, N22(12, 147) ) ( 27, N32(30, 145) ) ( 28, N8(80, 69) ) ( 29, G(1, 4) )( 30, N31(134, 15) ) ( 31, N26(94, 67) ) ( 32, N24(82, 5) ) ( 33, N14(126, 109) ) ( 34, N6(144, 35) ) ( 35, N-1 ) 

individual 8: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N10(138, 69) ) ( 3, N7(36, 137) ) ( 4, N30(78, 53) ) ( 5, N19(146, 107) ) ( 6, N21(6, 15) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N26(94, 67) ) ( 11, N9(94, 117) ) ( 12, N27(138, 137) ) ( 13, N12(8, 45) ) ( 14, N15(50, 139) ) ( 15, G(1, 2) )( 16, N8(80, 69) ) ( 17, N17(12, 103) ) ( 18, N28(122, 7) ) ( 19, N13(2, 123) ) ( 20, N20(90, 71) ) ( 21, N18(34, 91) ) ( 22, G(1, 3) )( 23, N16(8, 83) ) ( 24, N-1 ) ( 25, N31(134, 15) ) ( 26, N23(54, 47) ) ( 27, N22(12, 147) ) ( 28, N14(126, 109) ) ( 29, G(1, 4) )( 30, N11(118, 39) ) ( 31, N29(12, 123) ) ( 32, N32(30, 145) ) ( 33, N25(118, 35) ) ( 34, N24(82, 5) ) ( 35, N6(144, 35) ) 

individual 9: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N9(94, 117) ) ( 3, N20(90, 71) ) ( 4, N31(134, 15) ) ( 5, N11(118, 39) ) ( 6, N32(30, 145) ) ( 7, N24(82, 5) ) ( 8, G(1, 1) )( 9, N6(144, 35) ) ( 10, N18(34, 91) ) ( 11, N26(94, 67) ) ( 12, N-1 ) ( 13, N10(138, 69) ) ( 14, N23(54, 47) ) ( 15, G(1, 2) )( 16, N12(8, 45) ) ( 17, N-1 ) ( 18, N28(122, 7) ) ( 19, N22(12, 147) ) ( 20, N17(12, 103) ) ( 21, N13(2, 123) ) ( 22, G(1, 3) )( 23, N7(36, 137) ) ( 24, N14(126, 109) ) ( 25, N15(50, 139) ) ( 26, N16(8, 83) ) ( 27, N8(80, 69) ) ( 28, N30(78, 53) ) ( 29, G(1, 4) )( 30, N25(118, 35) ) ( 31, N29(12, 123) ) ( 32, N19(146, 107) ) ( 33, N21(6, 15) ) ( 34, N27(138, 137) ) ( 35, N-1 ) 

individual 10: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N17(12, 103) ) ( 3, N7(36, 137) ) ( 4, N26(94, 67) ) ( 5, N24(82, 5) ) ( 6, N23(54, 47) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N18(34, 91) ) ( 10, N9(94, 117) ) ( 11, N13(2, 123) ) ( 12, N14(126, 109) ) ( 13, N22(12, 147) ) ( 14, N29(12, 123) ) ( 15, G(1, 2) )( 16, N12(8, 45) ) ( 17, N20(90, 71) ) ( 18, N19(146, 107) ) ( 19, N8(80, 69) ) ( 20, N25(118, 35) ) ( 21, N28(122, 7) ) ( 22, G(1, 3) )( 23, N31(134, 15) ) ( 24, N21(6, 15) ) ( 25, N16(8, 83) ) ( 26, N15(50, 139) ) ( 27, N11(118, 39) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N32(30, 145) ) ( 31, N30(78, 53) ) ( 32, N27(138, 137) ) ( 33, N6(144, 35) ) ( 34, N10(138, 69) ) ( 35, N-1 ) 

