individual 0: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N26(137, 109) ) ( 3, N9(41, 4) ) ( 4, N23(103, 68) ) ( 5, N3(12, 64) ) ( 6, N2(128, 8) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N8(127, 136) ) ( 10, N17(117, 149) ) ( 11, N13(68, 95) ) ( 12, N25(62, 107) ) ( 13, N16(69, 112) ) ( 14, N7(95, 142) ) ( 15, G(1, 2) )( 16, N4(55, 95) ) ( 17, N0(34, 0) ) ( 18, N5(131, 77) ) ( 19, N11(142, 32) ) ( 20, N20(122, 33) ) ( 21, N18(35, 44) ) ( 22, G(1, 3) )( 23, N19(53, 11) ) ( 24, N22(91, 61) ) ( 25, N10(52, 3) ) ( 26, N1(69, 24) ) ( 27, N-1 ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N15(21, 138) ) ( 31, N21(23, 64) ) ( 32, N14(147, 76) ) ( 33, N6(11, 141) ) ( 34, N24(47, 144) ) ( 35, N12(21, 66) ) 

individual 1: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N26(137, 109) ) ( 3, N25(62, 107) ) ( 4, N16(69, 112) ) ( 5, N7(95, 142) ) ( 6, N5(131, 77) ) ( 7, N20(122, 33) ) ( 8, G(1, 1) )( 9, N4(55, 95) ) ( 10, N22(91, 61) ) ( 11, N12(21, 66) ) ( 12, N6(11, 141) ) ( 13, N10(52, 3) ) ( 14, N11(142, 32) ) ( 15, G(1, 2) )( 16, N9(41, 4) ) ( 17, N23(103, 68) ) ( 18, N17(117, 149) ) ( 19, N1(69, 24) ) ( 20, N21(23, 64) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N3(12, 64) ) ( 24, N0(34, 0) ) ( 25, N2(128, 8) ) ( 26, N18(35, 44) ) ( 27, N19(53, 11) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N24(47, 144) ) ( 31, N13(68, 95) ) ( 32, N-1 ) ( 33, N15(21, 138) ) ( 34, N14(147, 76) ) ( 35, N8(127, 136) ) 

individual 2: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N2(128, 8) ) ( 3, N25(62, 107) ) ( 4, N15(21, 138) ) ( 5, N20(122, 33) ) ( 6, N14(147, 76) ) ( 7, N4(55, 95) ) ( 8, G(1, 1) )( 9, N19(53, 11) ) ( 10, N-1 ) ( 11, N10(52, 3) ) ( 12, N17(117, 149) ) ( 13, N5(131, 77) ) ( 14, N12(21, 66) ) ( 15, G(1, 2) )( 16, N9(41, 4) ) ( 17, N18(35, 44) ) ( 18, N16(69, 112) ) ( 19, N-1 ) ( 20, N21(23, 64) ) ( 21, N13(68, 95) ) ( 22, G(1, 3) )( 23, N6(11, 141) ) ( 24, N-1 ) ( 25, N22(91, 61) ) ( 26, N11(142, 32) ) ( 27, N7(95, 142) ) ( 28, N8(127, 136) ) ( 29, G(1, 4) )( 30, N3(12, 64) ) ( 31, N0(34, 0) ) ( 32, N23(103, 68) ) ( 33, N26(137, 109) ) ( 34, N1(69, 24) ) ( 35, N24(47, 144) ) 

individual 3: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N2(128, 8) ) ( 3, N19(53, 11) ) ( 4, N5(131, 77) ) ( 5, N18(35, 44) ) ( 6, N21(23, 64) ) ( 7, N1(69, 24) ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N11(142, 32) ) ( 11, N7(95, 142) ) ( 12, N6(11, 141) ) ( 13, N25(62, 107) ) ( 14, N0(34, 0) ) ( 15, G(1, 2) )( 16, N15(21, 138) ) ( 17, N20(122, 33) ) ( 18, N23(103, 68) ) ( 19, N8(127, 136) ) ( 20, N14(147, 76) ) ( 21, N22(91, 61) ) ( 22, G(1, 3) )( 23, N9(41, 4) ) ( 24, N17(117, 149) ) ( 25, N24(47, 144) ) ( 26, N-1 ) ( 27, N3(12, 64) ) ( 28, N12(21, 66) ) ( 29, G(1, 4) )( 30, N13(68, 95) ) ( 31, N-1 ) ( 32, N26(137, 109) ) ( 33, N4(55, 95) ) ( 34, N16(69, 112) ) ( 35, N10(52, 3) ) 

individual 4: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N3(12, 64) ) ( 3, N18(35, 44) ) ( 4, N7(95, 142) ) ( 5, N14(147, 76) ) ( 6, N22(91, 61) ) ( 7, N13(68, 95) ) ( 8, G(1, 1) )( 9, N1(69, 24) ) ( 10, N2(128, 8) ) ( 11, N8(127, 136) ) ( 12, N11(142, 32) ) ( 13, N19(53, 11) ) ( 14, N10(52, 3) ) ( 15, G(1, 2) )( 16, N25(62, 107) ) ( 17, N17(117, 149) ) ( 18, N5(131, 77) ) ( 19, N23(103, 68) ) ( 20, N20(122, 33) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N24(47, 144) ) ( 24, N6(11, 141) ) ( 25, N9(41, 4) ) ( 26, N-1 ) ( 27, N0(34, 0) ) ( 28, N26(137, 109) ) ( 29, G(1, 4) )( 30, N4(55, 95) ) ( 31, N21(23, 64) ) ( 32, N16(69, 112) ) ( 33, N12(21, 66) ) ( 34, N-1 ) ( 35, N15(21, 138) ) 

individual 5: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N1(69, 24) ) ( 3, N19(53, 11) ) ( 4, N23(103, 68) ) ( 5, N9(41, 4) ) ( 6, N21(23, 64) ) ( 7, N16(69, 112) ) ( 8, G(1, 1) )( 9, N2(128, 8) ) ( 10, N3(12, 64) ) ( 11, N-1 ) ( 12, N0(34, 0) ) ( 13, N8(127, 136) ) ( 14, N17(117, 149) ) ( 15, G(1, 2) )( 16, N26(137, 109) ) ( 17, N18(35, 44) ) ( 18, N24(47, 144) ) ( 19, N7(95, 142) ) ( 20, N25(62, 107) ) ( 21, N5(131, 77) ) ( 22, G(1, 3) )( 23, N15(21, 138) ) ( 24, N6(11, 141) ) ( 25, N10(52, 3) ) ( 26, N-1 ) ( 27, N14(147, 76) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N22(91, 61) ) ( 31, N4(55, 95) ) ( 32, N13(68, 95) ) ( 33, N12(21, 66) ) ( 34, N20(122, 33) ) ( 35, N11(142, 32) ) 
