individual 0: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(11, 141) ) ( 3, N24(47, 144) ) ( 4, N31(87, 86) ) ( 5, N14(147, 76) ) ( 6, N10(52, 3) ) ( 7, N28(83, 47) ) ( 8, G(1, 1) )( 9, N8(127, 136) ) ( 10, N20(122, 33) ) ( 11, N26(137, 109) ) ( 12, N23(103, 68) ) ( 13, N17(117, 149) ) ( 14, N7(95, 142) ) ( 15, G(1, 2) )( 16, N15(21, 138) ) ( 17, N12(21, 66) ) ( 18, N16(69, 112) ) ( 19, N21(23, 64) ) ( 20, N30(11, 94) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N18(35, 44) ) ( 24, N11(142, 32) ) ( 25, N13(68, 95) ) ( 26, N25(62, 107) ) ( 27, N29(128, 48) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N9(41, 4) ) ( 31, N32(119, 53) ) ( 32, N27(36, 37) ) ( 33, N19(53, 11) ) ( 34, N22(91, 61) ) ( 35, N-1 ) 

individual 1: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N18(35, 44) ) ( 3, N7(95, 142) ) ( 4, N22(91, 61) ) ( 5, N14(147, 76) ) ( 6, N19(53, 11) ) ( 7, N20(122, 33) ) ( 8, G(1, 1) )( 9, N26(137, 109) ) ( 10, N9(41, 4) ) ( 11, N11(142, 32) ) ( 12, N13(68, 95) ) ( 13, N28(83, 47) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N-1 ) ( 18, N12(21, 66) ) ( 19, N27(36, 37) ) ( 20, N25(62, 107) ) ( 21, N31(87, 86) ) ( 22, G(1, 3) )( 23, N24(47, 144) ) ( 24, N8(127, 136) ) ( 25, N17(117, 149) ) ( 26, N21(23, 64) ) ( 27, N30(11, 94) ) ( 28, N29(128, 48) ) ( 29, G(1, 4) )( 30, N23(103, 68) ) ( 31, N10(52, 3) ) ( 32, N16(69, 112) ) ( 33, N15(21, 138) ) ( 34, N6(11, 141) ) ( 35, N32(119, 53) ) 

individual 2: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N31(87, 86) ) ( 3, N9(41, 4) ) ( 4, N20(122, 33) ) ( 5, N23(103, 68) ) ( 6, N32(119, 53) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N14(147, 76) ) ( 10, N28(83, 47) ) ( 11, N8(127, 136) ) ( 12, N25(62, 107) ) ( 13, N15(21, 138) ) ( 14, N10(52, 3) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N24(47, 144) ) ( 18, N13(68, 95) ) ( 19, N22(91, 61) ) ( 20, N27(36, 37) ) ( 21, N7(95, 142) ) ( 22, G(1, 3) )( 23, N29(128, 48) ) ( 24, N12(21, 66) ) ( 25, N30(11, 94) ) ( 26, N17(117, 149) ) ( 27, N19(53, 11) ) ( 28, N16(69, 112) ) ( 29, G(1, 4) )( 30, N21(23, 64) ) ( 31, N6(11, 141) ) ( 32, N18(35, 44) ) ( 33, N26(137, 109) ) ( 34, N11(142, 32) ) ( 35, N-1 ) 

individual 3: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(11, 141) ) ( 3, N27(36, 37) ) ( 4, N25(62, 107) ) ( 5, N29(128, 48) ) ( 6, N11(142, 32) ) ( 7, N23(103, 68) ) ( 8, G(1, 1) )( 9, N13(68, 95) ) ( 10, N10(52, 3) ) ( 11, N18(35, 44) ) ( 12, N15(21, 138) ) ( 13, N12(21, 66) ) ( 14, N30(11, 94) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N28(83, 47) ) ( 18, N17(117, 149) ) ( 19, N20(122, 33) ) ( 20, N19(53, 11) ) ( 21, N16(69, 112) ) ( 22, G(1, 3) )( 23, N31(87, 86) ) ( 24, N14(147, 76) ) ( 25, N24(47, 144) ) ( 26, N22(91, 61) ) ( 27, N-1 ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N8(127, 136) ) ( 31, N9(41, 4) ) ( 32, N21(23, 64) ) ( 33, N7(95, 142) ) ( 34, N26(137, 109) ) ( 35, N32(119, 53) ) 

individual 4: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N16(69, 112) ) ( 3, N25(62, 107) ) ( 4, N19(53, 11) ) ( 5, N9(41, 4) ) ( 6, N8(127, 136) ) ( 7, N18(35, 44) ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N20(122, 33) ) ( 11, N10(52, 3) ) ( 12, N12(21, 66) ) ( 13, N-1 ) ( 14, N21(23, 64) ) ( 15, G(1, 2) )( 16, N13(68, 95) ) ( 17, N22(91, 61) ) ( 18, N-1 ) ( 19, N32(119, 53) ) ( 20, N24(47, 144) ) ( 21, N30(11, 94) ) ( 22, G(1, 3) )( 23, N28(83, 47) ) ( 24, N7(95, 142) ) ( 25, N23(103, 68) ) ( 26, N31(87, 86) ) ( 27, N29(128, 48) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N6(11, 141) ) ( 31, N26(137, 109) ) ( 32, N14(147, 76) ) ( 33, N11(142, 32) ) ( 34, N27(36, 37) ) ( 35, N17(117, 149) ) 

individual 5: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N14(147, 76) ) ( 3, N25(62, 107) ) ( 4, N-1 ) ( 5, N28(83, 47) ) ( 6, N-1 ) ( 7, N19(53, 11) ) ( 8, G(1, 1) )( 9, N7(95, 142) ) ( 10, N6(11, 141) ) ( 11, N23(103, 68) ) ( 12, N31(87, 86) ) ( 13, N12(21, 66) ) ( 14, N18(35, 44) ) ( 15, G(1, 2) )( 16, N32(119, 53) ) ( 17, N20(122, 33) ) ( 18, N21(23, 64) ) ( 19, N16(69, 112) ) ( 20, N15(21, 138) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N24(47, 144) ) ( 24, N30(11, 94) ) ( 25, N29(128, 48) ) ( 26, N26(137, 109) ) ( 27, N27(36, 37) ) ( 28, N17(117, 149) ) ( 29, G(1, 4) )( 30, N13(68, 95) ) ( 31, N9(41, 4) ) ( 32, N11(142, 32) ) ( 33, N22(91, 61) ) ( 34, N8(127, 136) ) ( 35, N10(52, 3) ) 

individual 6: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N30(11, 94) ) ( 3, N19(53, 11) ) ( 4, N6(11, 141) ) ( 5, N26(137, 109) ) ( 6, N-1 ) ( 7, N17(117, 149) ) ( 8, G(1, 1) )( 9, N13(68, 95) ) ( 10, N23(103, 68) ) ( 11, N8(127, 136) ) ( 12, N27(36, 37) ) ( 13, N15(21, 138) ) ( 14, N14(147, 76) ) ( 15, G(1, 2) )( 16, N20(122, 33) ) ( 17, N9(41, 4) ) ( 18, N16(69, 112) ) ( 19, N28(83, 47) ) ( 20, N-1 ) ( 21, N11(142, 32) ) ( 22, G(1, 3) )( 23, N32(119, 53) ) ( 24, N18(35, 44) ) ( 25, N10(52, 3) ) ( 26, N29(128, 48) ) ( 27, N25(62, 107) ) ( 28, N24(47, 144) ) ( 29, G(1, 4) )( 30, N7(95, 142) ) ( 31, N12(21, 66) ) ( 32, N-1 ) ( 33, N22(91, 61) ) ( 34, N21(23, 64) ) ( 35, N31(87, 86) ) 

